Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Пантера,салон красоты,Ногтевые студии; Визажисты; Оформление бровей и ресниц,"микрорайон Авангард-4, 12",,,Авангард-4 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи: пн-вс),+05:00,3.6,29,87015102131,,,,http://zapis.kz/pantera,,https://instagram.com/pantera_salon,,https://wa.me/77015102131,,,,,,,47.100567,51.883144,https://2gis.com/firm/70000001034758581,branch
GD beauty,салон красоты,Парикмахерские; Ногтевые студии; Визажисты; Оформление бровей и ресниц; Эпиляция; Массажист; Перманентный макияж,"проспект Каныша Сатпаева, 5г",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.0,76,87022224884,87052758409,,,,,https://instagram.com/gd_beauty_atyrau,,https://wa.me/77022224884,,,,,,,47.10334,51.89102,https://2gis.com/firm/70000001034714224,branch
Zhan beauty studio,салон красоты,Парикмахерские; Визажисты; Ногтевые студии,"проспект Азаттык, 77",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.6,10,87027521062,,,,,,https://instagram.com/zhanbeauty06,,https://wa.me/77027521062,,,,,,,47.093823,51.920711,https://2gis.com/firm/70000001062535452,branch
Apodit,оздоровительный центр,Косметолог; Массажист; Альтернативная медицина; Гирудотерапевт; Мануальный терапевт; Проведение хирургических операций,"проспект Азаттык, 19а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,1,87714495544,,,,,,,,https://wa.me/77714495544,,,,,,,47.103657,51.923763,https://2gis.com/firm/70000001098474128,branch
Radius,барбершоп,Барбершопы,"проспект Азаттык, 64",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.6,28,87788088323,,,,http://b735873.alteg.io/company/693411/select-master?api_key=zna3an7p3yq13vqfny0k&o=m-1,,https://instagram.com/radius_atyrau,,https://wa.me/77788088323,,,,https://t.me/+77788088323,,,47.092868,51.921194,https://2gis.com/firm/70000001060639696,branch
Valeo Health club,оздоровительный клуб,SPA-процедуры; Фитнес-клубы; Косметолог; Массажист; Оформление бровей и ресниц; Ногтевые студии; Бассейны,"проспект Каныша Сатпаева, 15Б",3 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,4.6,12,87122909669,87010814060,87122909639,,,,https://instagram.com/valeo_health_club,,https://wa.me/77010814060,,,,,,,47.106146,51.899261,https://2gis.com/firm/70000001034691113,branch
America,барбершоп,Барбершопы,"микрорайон Нурсая, 46",,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 16:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,8,87081830082,,,,http://n1334999.alteg.io/,,https://instagram.com/america_barbershop_perfume,,https://wa.me/77081830082,,,,,,,47.111058,51.863317,https://2gis.com/firm/70000001096798625,branch
Rock Scissors Paper,детская студия красоты,Барбершопы,"улица Гурьев, 6",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.2,40,87010700248,,,,,,https://instagram.com/rockscissorspaper.kz,,https://wa.me/77010700248,,,,,,,47.102585,51.927552,https://2gis.com/firm/70000001067369128,branch
Zara Beauty,салон красоты,Ногтевые студии; Оформление бровей и ресниц,"микрорайон Алмагуль, 11",цокольный этаж,,Алмагул м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.9,18,87782147937,87076869324,,,,,https://instagram.com/zara_beauty_06,,https://wa.me/77076869324,,,,,,,47.120161,51.943457,https://2gis.com/firm/70000001059982783,branch
Локон,салон красоты,Парикмахерские; Ногтевые студии,"микрорайон Авангард-2, 8",1 этаж,,Авангард-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи: пн-вс),+05:00,4.7,33,87017480903,87013047790 (мастер маникюра),87750522537,,,,https://instagram.com/anarahairstyle,,https://wa.me/77017480903,https://wa.me/77013047790,https://wa.me/77750522537,,,,,47.097907,51.876969,https://2gis.com/firm/70000001041073461,branch
Ханшайым,оздоровительный центр,SPA-процедуры; Бани / Сауны,"7-я улица, 3",,,Атырау-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,3.5,2,87781956434,87781956383,,,,,https://instagram.com/khanshaiym_spa,,,,,,,,,47.145658,51.921973,https://2gis.com/firm/70000001094258987,branch
True barbershop,,Барбершопы,"улица Алия Молдагулова, 50",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.5,45,87752203355,,,,http://n598471.alteg.io/,,https://instagram.com/truebarbershop06,,https://wa.me/77752203355,,,,,,,47.12586,51.911224,https://2gis.com/firm/70000001055784453,branch
Adi Tazhiev,салон красоты,Визажисты; Обучение мастеров для салонов красоты,"Бактыгерея Кулманова улица, 1а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.6,29,87022500900,,,,,,https://instagram.com/aditazhiev_beautysalon,,https://wa.me/77022500900,,,,,,,47.10873,51.915554,https://2gis.com/firm/70000001037353093,branch
Iris lab,центр косметологии,Косметолог; Трихолог; Пластическая хирургия; Эпиляция; Подолог,"проспект Азаттык, 169г",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00 (по предварительной записи: пн-вс),+05:00,4.9,41,87053690802,,,,,,https://instagram.com/iris_lab_atyrau,,https://wa.me/77053690802,,,,,,,47.083187,51.899497,https://2gis.com/firm/70000001065547653,branch
Top Man ,барбершоп,Барбершопы,"Сарыарка микрорайон, 33",,,Сарыарка м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,31,87711770444,,,,,,https://instagram.com/topman_barbershop_atyrau,,https://wa.me/77711770444,,,,,,,47.107072,51.905371,https://2gis.com/firm/70000001089268373,branch
Kolibri,салон красоты,Парикмахерские; Ногтевые студии; Эпиляция; Массажист; Обучение мастеров для салонов красоты; Подолог; Косметолог; Оформление бровей и ресниц,"микрорайон Нурсая, 18",1 этаж,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,31,87771651500 (мужской и детский мастер),87711145706 (мастер маникюра и педикюра),87777730358 (женский мастер),,,,https://instagram.com/kolibri_nursaya,,https://wa.me/77053375998,https://wa.me/77075777999,https://wa.me/77777730358,,,,,47.117642,51.864606,https://2gis.com/firm/70000001035590748,branch
Make me wow,салон красоты,Парикмахерские; Оформление бровей и ресниц; Ногтевые студии; Визажисты; Перманентный макияж,"проспект Каныша Сатпаева, 50Б",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,9,87015083128,,,,,,https://instagram.com/makemewow_atyrau,,https://wa.me/77015083128,,,,,,,47.103594,51.889739,https://2gis.com/firm/70000001095676530,branch
True beauty lab,салон красоты,Парикмахерские; Оформление бровей и ресниц; Ногтевые студии; Эпиляция; Косметолог; Массажист; Подолог; Визажисты,"улица Алия Молдагулова, 50",1-2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,67,87752203366,87752203355,,,,,https://instagram.com/true_beauty_lab06,,https://wa.me/77752203366,https://wa.me/77752203355,,,,,,47.12586,51.911224,https://2gis.com/firm/70000001061170393,branch
Satan,салон красоты,Парикмахерские; Ногтевые студии; Оформление бровей и ресниц; Визажисты; Перманентный макияж; Услуги пирсинга,"Махамбета Утемисова улица, 119",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи),+05:00,4.9,29,87013746688,,,,,,https://instagram.com/satan_sulylyg_salony,,https://wa.me/77013746688,,,,,,,47.096386,51.92591,https://2gis.com/firm/70000001047877632,branch
Рапунцель,студия наращивания волос ,Парикмахерские; Ногтевые студии; Массажист; Оформление бровей и ресниц,"проспект Азаттык, 67",1 этаж; возле магазина Астау,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.1,14,87025959245,87751764165,,,,,https://instagram.com/rapunzel_atyrau,,https://wa.me/77025959245,https://wa.me/77751764165,,,,,,47.095844,51.922502,https://2gis.com/firm/70000001087703532,branch
Scin Clinic,центр медицины и эстетики,Косметолог; Медицинские анализы; Дерматолог,"микрорайон Авангард-2, 11Б блок 5",1 этаж,,Авангард-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.0,8,87789628797,87122516334,,,,,https://instagram.com/skin_clinic_atyrau,,https://wa.me/77789628797,,,,,,,47.098434,51.878248,https://2gis.com/firm/70000001047863389,branch
Blesk,салон красоты,Парикмахерские; Ногтевые студии; Визажисты; Оформление бровей и ресниц,"улица Сакен Сейфуллин, 5Б",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.3,9,,,,,,,https://instagram.com/blesk_atyrau,,https://wa.me/77750694016,,,,,,,47.103389,51.905973,https://2gis.com/firm/70000001035693977,branch
Ax cosmetology,кабинет косметолога,Косметолог; Оформление бровей и ресниц; Эпиляция; Массажист,"улица Момышулы, 23",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,33,87756522372,87755195618,,,,,https://instagram.com/ax_cosmetology_06,,https://wa.me/77756522372,https://wa.me/77755195618,,,,,,47.106521,51.931239,https://2gis.com/firm/70000001086918936,branch
ПЕРСИК,студия лазерной эпиляции,Эпиляция,"проспект Азаттык, 169г",2 офис; 1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,92,87004649993,,,,,,https://instagram.com/persik.atyrau,,https://wa.me/77004649993,,,,,,,47.083187,51.899564,https://2gis.com/firm/70000001057467654,branch
Студия красоты Анастасии Якк,,Парикмахерские; Косметолог; Визажисты; Перманентный макияж,"микрорайон Нурсая, 8",1 этаж,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,+05:00,4.2,12,87781590151 (администратор),,,,,,https://instagram.com/nastyacosmed_studiya,,https://wa.me/77781590151,,,,,,,47.116403,51.865984,https://2gis.com/firm/70000001034609644,branch
Garage barbershop,,Барбершопы,"улица Кайыргали Смагулов, 64",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,5.0,5,,,,,,,,,,,,,,,,47.094633,51.911249,https://2gis.com/firm/70000001097371775,branch
MedLaser,студия лазерной эпиляции,Эпиляция,"проспект Азаттык, 61",202 кабинет; 2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,22,87789909865,,,,,,https://instagram.com/medlaser_atyrau,,https://wa.me/77789909865,,,,,,,47.097058,51.922861,https://2gis.com/firm/70000001096791108,branch
Nails look,ногтевая студия,Ногтевые студии; Оформление бровей и ресниц,"проспект Азаттык, 5Б/1",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.4,20,87020002862,,,,,,https://instagram.com/nails_look_atyrau,,https://wa.me/77020002862,,,,,,,47.110019,51.922071,https://2gis.com/firm/70000001035129447,branch
Jonibek barber,барбершоп,Барбершопы,"проспект Мухтара Ауэзова, 26",,,Жилгородок м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,114,87753040684,,,,,,https://instagram.com/jonibek_barbershop_atyrau,,https://wa.me/77753040684,,,,,,,47.095558,51.905322,https://2gis.com/firm/70000001045257505,branch
Asyq,барбершоп,Барбершопы,"микрорайон Привокзальный 3а, 26а",,,Привокзальный-3а м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,81,87059886166,,,,,,https://instagram.com/asyq_barbershop_atyrau,,https://wa.me/77059886166,,,,,,,47.12575,51.951986,https://2gis.com/firm/70000001082564707,branch
Osmanski clinic,косметологическая клиника,Косметолог,"Махамбета Утемисова улица, 120а",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,5.0,3,87753455100,,,,,,https://instagram.com/osmanski_clinic,,https://wa.me/77753455100,,,,,,,47.102217,51.930957,https://2gis.com/firm/70000001066744000,branch
Рустам,парикмахерская,Парикмахерские; Ногтевые студии; Визажисты,"Муса Баймуханова улица, 65/1",219 бутик,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,3.8,1,87757283783,,,,,,https://instagram.com/holli_nails,,https://wa.me/77757283783,,,,,,,47.127642,51.956097,https://2gis.com/firm/70000001035386481,branch
Lami Lash,студия по ламинированию и наращиванию ресниц,Ногтевые студии; Оформление бровей и ресниц; Обучение мастеров для салонов красоты; Эпиляция,"проспект Каныша Сатпаева, 19а Блок Б",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,6,87024340491,,,,,,https://instagram.com/lamilash_s,,https://wa.me/77024340491,,,,,,,47.105591,51.893038,https://2gis.com/firm/70000001036913330,branch
Barber Go,барбершоп,Барбершопы,"улица Академика Жарбосынова, 89а",7 офис; 3 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.9,98,87070502024,,,,http://n1281070.alteg.io,,https://instagram.com/barbergo_atyrau,,https://wa.me/77070502024,,,,,,,47.109761,51.898327,https://2gis.com/firm/70000001084169470,branch
Дария,салон красоты,Парикмахерские; Ногтевые студии; Визажисты; Перманентный макияж,"микрорайон Нурсая, 27",1 этаж,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.1,38,87780809099,87778678656,87789588456 (мужской отдел),,,,https://instagram.com/dariya_beauty_salon,,https://wa.me/77780809099,https://wa.me/77778678656,https://wa.me/77789588456,,,,,47.118358,51.866724,https://2gis.com/firm/70000001035586010,branch
Asyq,барбершоп,Барбершопы,"улица Таумана Амандосова, 43в",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,16,87714446166,,,,,,https://instagram.com/asyq_barbershop_atyrau,,https://wa.me/77714446166,,,,,,,47.135509,51.939306,https://2gis.com/firm/70000001093064076,branch
Amore Beauty,ногтевая студия и магазин для мастеров,Ногтевые студии; Обучение мастеров для салонов красоты,"микрорайон Авангард-2, 6в",,,Авангард-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,10,87015791592,,,,,,https://instagram.com/nails_shop_zarina,,https://wa.me/77015791592,,,,,,,47.097124,51.876378,https://2gis.com/firm/70000001087553247,branch
Beauty Fox,салон красоты,Парикмахерские; Ногтевые студии; Оформление бровей и ресниц; Визажисты,"улица Таумуш Жумагалиев, 10 блок 9",,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,4.3,18,87475354546,87066753546,,,,,https://instagram.com/beautyfox_atyrau,,https://wa.me/77475354546,https://wa.me/77066753546,,,,,,47.108989,51.866446,https://2gis.com/firm/70000001091608486,branch
Melin,салон красоты,Парикмахерские; Эпиляция; Ногтевые студии; Оформление бровей и ресниц; Визажисты,"микрорайон Авангард-4, 7",,,Авангард-4 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.5,7,87027619183,,,,,,https://instagram.com/salon_krasoti_melin,,https://wa.me/77027619183,,,,,,,47.101607,51.882936,https://2gis.com/firm/70000001057726554,branch
Lalaser land,студия красоты,Эпиляция,"проспект Каныша Сатпаева, 66",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,4.9,103,,,,,,,https://instagram.com/lalaser_land_atyrau,,https://wa.me/77473753114,,,,,,,47.102459,51.885778,https://2gis.com/firm/70000001083665982,branch
Mur Mur Pro,салон косметологии,Косметолог; Эпиляция,"улица Жолдаскали Досмухамбетов, 12",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,344,87788003050,,,,http://n210537.alteg.io/,http://murmur.kz,https://instagram.com/mur.mur.pro,,https://wa.me/77788003050,,,,,,,47.100474,51.926796,https://2gis.com/firm/70000001057686403,branch
Ray Beauty Space,,Парикмахерские; Ногтевые студии; Визажисты; Косметолог; Оформление бровей и ресниц; Эпиляция,"улица Отешкали Атамбаев, 7Б/5",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,,,87019083388,,,,,,https://instagram.com/ray.beautyspace,,https://wa.me/77019083388,,,,,,,47.0881,51.920789,https://2gis.com/firm/70000001097165343,branch
Mia bella,салон здоровья и красоты,Ногтевые студии; Косметолог; Массажист; Эпиляция; Перманентный макияж,"улица Владимира Худина, 29",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.6,10,87021717997,,,,,,https://instagram.com/mia_bella_atyrau,,https://wa.me/77021717997,,,,,,,47.107153,51.89386,https://2gis.com/firm/70000001066451181,branch
Sunna,клиника здоровья и красоты для женщин,Парикмахерские; Альтернативная медицина; Ногтевые студии; Визажисты; Эпиляция; Оформление бровей и ресниц; Косметолог,"улица Гинаят Абдрахманов, 43",3 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,11,87751302001,,,,,,https://instagram.com/sunna_atyrau,,https://wa.me/77751302001,,,,,,,47.121398,51.938918,https://2gis.com/firm/70000001064673301,branch
Ledy,салон красоты,Парикмахерские; Ногтевые студии; Оформление бровей и ресниц; Визажисты,"20-я улица, 60а",,,Рембаза м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.5,21,87780201006,,,,,,https://instagram.com/ledy_beauty_sa1on,,https://wa.me/77780201006,,,,,,,47.088019,51.862551,https://2gis.com/firm/70000001077411206,branch
Риза,оздоровительный центр,Косметолог; Альтернативная медицина; Массажист; Мануальный терапевт; Рефлексотерапевт,"проспект Азаттык, 5а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-14:00,+05:00,4.8,17,87785203758,,,,,,https://instagram.com/aisaule_hidjama,,https://wa.me/77785203758,,,,,,,47.109567,51.922818,https://2gis.com/firm/70000001067343435,branch
Грация,студия красоты,Парикмахерские; Косметолог; Ногтевые студии; Оформление бровей и ресниц,"микрорайон Авангард-3, 75",,,Авангард-3 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.9,13,87054164628,,,,,,https://instagram.com/gratsiya_beauty_atyrau,,https://wa.me/77054164628,,,,,,,47.095246,51.884217,https://2gis.com/firm/70000001089417739,branch
Алтын шаш,салон красоты,Парикмахерские; Ногтевые студии,"микрорайон Авангард-2, 1",,,Авангард-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,3.1,5,87783292600 (мужской мастер),87015879432 (мастер универсал ),87088528910 (мужской мастер ),,,,,,https://wa.me/77783292600,https://wa.me/77022368300,https://wa.me/77015879432,,,,,47.097048,51.874986,https://2gis.com/firm/70000001074521470,branch
Элеонора,салон красоты,Парикмахерские,"4-я улица, 26а",,,Атамура м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.4,26,87754699078,,,,,,,,https://wa.me/77754699078,,,,,,,47.12541,51.901525,https://2gis.com/firm/70000001060845281,branch
