Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Geona,центр по производству корпусной мебели,Мебель на заказ; Корпусная мебель,"улица Курмангазы, 72а",1 этаж,,Жеруйык м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-16:00,+05:00,,,87053991205,,,,,http://geona-dveri.ru/,,https://instagram.com/geona_mebel_atyrau,,,https://wa.me/77053991205,,,,,,47.115997,51.886681,https://2gis.com/firm/70000001094276914,branch
Жанна и К,мебельный салон,Мебель на заказ; Мебель для кухни; Корпусная мебель,"проспект Азаттык, 183д",,,Толкын м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,,,87022470710,,,,,,,https://instagram.com/atyrau_mebel_zhanna_i_k,,,https://wa.me/77022470710,,,,,,47.081327,51.894564,https://2gis.com/firm/70000001034998468,branch
Adai,мебельный салон,Мебель на заказ; Мягкая мебель; Корпусная мебель,"Муса Баймуханова улица, 70Б",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,1,87757110010,,,,,,,https://instagram.com/adai.mebel.atyrau,,,https://wa.me/77757110010,,,,,,47.125784,51.960893,https://2gis.com/firm/70000001089482641,branch
Kerbez,студия мебели,Мебель на заказ; Мебель для кухни; Мебель для ванных комнат,"проезд Жиренше Шешен, 25",,,Кара депо м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,1.0,3,87788817777,,,,,,,https://instagram.com/kerbez_mebel_atyrau,,,https://wa.me/77788817777,,,,,,47.099442,51.950182,https://2gis.com/firm/70000001036801471,branch
CARA hardwood,мебельный салон,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мягкая мебель; Мебельные магазины,"проспект Азаттык, 75",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 10:00-13:00, 14:00-19:00",+05:00,4.0,7,"87014100195 (единый номер: пн-сб 10:00-19:00, вс 11:00-17:00)",,,,,,,https://instagram.com/cara_hardwood_atyrau,,,https://wa.me/77014100195,,,,,,47.09411,51.920532,https://2gis.com/firm/70000001045879537,branch
MebeLine,компания по изготовлению мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мебельные фасады,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,1.2,1,87055552534,,,,,,,https://instagram.com/mebeline_atyrau,,,https://wa.me/77055552534,,,,,,47.132553,51.89506,https://2gis.com/firm/70000001078584531,branch
Zhanar,мебельная компания,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель,"проспект Султана Бейбарыса, 35",209 офис; 2 этаж,,Мясокомбинат м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00",+05:00,1.0,1,87014640860,,,,,,,https://instagram.com/mebel_zhanar_atyrau,,,https://wa.me/77014640860,,,,,,47.118095,51.943885,https://2gis.com/firm/70000001035393750,branch
Mebellini,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель; Мягкая мебель; Детская мебель,"улица Сырым Датова, 62",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-17:00,+05:00,5.0,1,87023299000,87016163106 (единый номер: пн-вс 10:00-19:00),,,,,,https://instagram.com/mebellini.atyrau,,,https://wa.me/77023299000,,,,,,47.107659,51.950175,https://2gis.com/firm/70000001045592309,branch
ADF Decor,компания по производству мебели и фасада,Мебель на заказ; Офисная мебель; Мебель для кухни; Детская мебель; Корпусная мебель; Мягкая мебель,"проспект Зейноллы Кабдолова, 2а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,4.0,1,87015010304,,,,,,,https://instagram.com/adf_decor,,,https://wa.me/77015010304,,,,,,47.075175,51.915627,https://2gis.com/firm/70000001065567619,branch
Мебельный салон,ИП Султанби,Мебель на заказ; Мебель для культурно-досуговых учреждений; Мягкая мебель; Корпусная мебель; Мебель для кухни; Мебельные магазины,"проспект Султана Бейбарыса, 45",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,1,87018913300,,,,,,,https://instagram.com/sultanbi_mebel,,,,,,,,,47.125869,51.956001,https://2gis.com/firm/70000001035236088,branch
База,ИП СЭМ,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Жалантос батыр, 8",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,3.7,3,87023854705,,,,,,,https://instagram.com/samstonegroup,,,https://wa.me/77023854705,,,,,,47.082721,51.90974,https://2gis.com/firm/70000001050773906,branch
Arzan divan Atyrau,компания по продаже мягкой мебели,Мебель на заказ; Мягкая мебель; Офисная мебель,"улица Астана, 18",,,Мирас м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительному звонку: пн-вс),+05:00,5.0,9,87789875707,87086964601,,,,,,https://instagram.com/arzan_divan_atyrau,,,https://wa.me/77789875707,https://wa.me/77086964601,,,,,47.153514,51.971305,https://2gis.com/firm/70000001061222619,branch
Elite Zhihaz,мебельный салон,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Куттыгай батыра, 12Б",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,5.0,1,87018390100,,,,,,,https://instagram.com/elite_zhihaz_atyrau,,,https://wa.me/77018390100,,,,,,47.11029,51.968059,https://2gis.com/firm/70000001089609932,branch
Hilding Anders,"салон матрасов, кроватей и товаров для сна",Мебель на заказ; Матрасы; Корпусная мебель; Мягкая мебель; Ортопедические товары; Домашний текстиль,"улица Курмангазы, 11",1 этаж,,Авангард-4 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,46,87085040505,,,,,,,https://instagram.com/hildinganders.atyrau,,,https://wa.me/77085040505,,,,,,47.100215,51.879937,https://2gis.com/firm/70000001063045300,branch
Lara,компания по изготовлению мебели на заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни,"микрорайон Авангард-2, 5",1 этаж,,Авангард-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-18:00",+05:00,1.0,1,87015488748,,,,,,,https://instagram.com/zhihazprom,,,https://wa.me/77015488748,,,,,,47.097538,51.875392,https://2gis.com/firm/70000001035229963,branch
Airs Mebel,мебельный цех,Мебель на заказ; Детская мебель; Мебель для кухни; Корпусная мебель,"улица Бакдаулет, 11",,,Лесхоз-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,2,87019522776,,,,,,,https://instagram.com/airs_mebel_atyrau,,,https://wa.me/77019522776,,,,,,47.102668,51.859357,https://2gis.com/firm/70000001064219587,branch
Modern Office Furniture,магазин офисной мебели,Мебель на заказ; Корпусная мебель; Мягкая мебель; Мебель для учебных и дошкольных учреждений; Медицинская и лабораторная мебель,"проспект Азаттык, 48",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87008870016,,,,,http://modern-office.kz,,https://instagram.com/mof.atyrau,,,https://wa.me/77010659955,,,,,,47.096415,51.923363,https://2gis.com/firm/70000001089288887,branch
Makberry,студия мебели,Мебель на заказ; Мебель для кухни; Детская мебель; Корпусная мебель; Мебель для ванных комнат; Мебельные магазины; Офисная мебель; Мебель для общественного питания; Мебель для учебных и дошкольных учреждений,"Георгия Канцева улица, 1",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,2.0,4,87015316060,87022199966,,,,,,https://instagram.com/makberry_atyrau,,,https://wa.me/77015316060,https://wa.me/77022199966,,,,,47.107201,51.934982,https://2gis.com/firm/70000001035050147,branch
Анель,мебельный салон,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мягкая мебель; Офисная мебель; Детская мебель; Мебельные магазины,"улица Бекбая Бимаганова, 2",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,2.6,5,87011488687,87122453094,,,,,,,,,https://wa.me/77011488687,,,,,,47.093815,51.904084,https://2gis.com/firm/70000001035154057,branch
Мебель-city,мебельный магазин,Мебель на заказ; Корпусная мебель; Мебельные магазины,"улица Ныгмета Нурмакова, 50а",,,Байтак-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00; Сб: 10:00-13:00, 14:00-18:00",+05:00,,,87780062478,,,,,,,https://instagram.com/mebel_city_atyrau,,,,,,,,,47.046427,51.897492,https://2gis.com/firm/70000001054919083,branch
Woodworx,,Мебель на заказ; Деревообработка; Мебель для общественного питания; Офисная мебель; Мебель для кухни,"проспект Азаттык, 118в",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,2,87007417441,,,,,,,https://instagram.com/WoodWorx_atyrau,,,https://wa.me/77007417441,,,,,,47.083957,51.905359,https://2gis.com/firm/70000001089746628,branch
Euro House Mebel,​компания по изготовлению мебели под заказ,Мебель на заказ; Мебель для кухни,"улица Сырым Датова, 54",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,2,87022353936,,,,,,,https://instagram.com/euro.house.mebel.atyrau,,,https://wa.me/77022353936,,,,,,47.104454,51.944258,https://2gis.com/firm/70000001087764589,branch
Soft Lux,мебельный салон,Мебель на заказ; Мягкая мебель,"улица Бекет Ата, 23",,,Бирлик м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,1,87760644455,87088206534,,,,,,https://instagram.com/soft__lux,,,https://wa.me/77760644455,,,,,,47.142812,51.98418,https://2gis.com/firm/70000001088128602,branch
5 звёзд,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Курмангазы, 72а",2 этаж,,Жеруйык м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,87751949823,,,,,,,https://instagram.com/5zvezd_atyrau,,,https://wa.me/77751949823,,,,,,47.115997,51.886681,https://2gis.com/firm/70000001090813745,branch
Emir Mebel Atyrau,компания по изготовлению мебели,Мебель на заказ; Мебель для кухни,"улица Мендекеш Сатыбалдиева, 3",,,Рембаза м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,87087029697,,,,,,,https://instagram.com/emir_atyrau,,,https://wa.me/77087029697,,,,,,47.084388,51.862686,https://2gis.com/firm/70000001081069442,branch
Ferogatti,магазин мебели для кухни,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебельные фасады; Дизайн интерьеров; Мебельные магазины,"улица Сырым Датова, 40а",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,5.0,1,87785027933,,,,,http://ferogatti.kz,,https://instagram.com/ferogatti_atyrau,https://facebook.com/ferogatti,https://vk.com/ferogatti,https://wa.me/77785027933,,,,,,47.098661,51.932397,https://2gis.com/firm/70000001042737960,branch
Aisultan,мебельный салон,Мебель на заказ; Мягкая мебель; Корпусная мебель,"Муса Баймуханова улица, 70Б",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,87013900789,87073724407,,,,,,https://instagram.com/aisultanmebel,,,https://wa.me/77013900789,,,,,,47.125784,51.960893,https://2gis.com/firm/70000001090726217,branch
Gold mebel ,компания по изготовлению мебели на заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни,"микрорайон Береке, 133",,,Береке м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,87758801325,87751216344,,,,,,https://instagram.com/gold_mebel_atyrau,,,https://wa.me/77758801325,https://wa.me/77751216344,,,,,47.13666,51.953789,https://2gis.com/firm/70000001082566025,branch
Yasin,компания по изготовлению мебели под заказ,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Мебель для ванных комнат,"Муса Баймуханова улица, 12в",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00,+05:00,,,87000712000,87029808200,,,,,,,,,https://wa.me/77000712000,https://wa.me/77029808200,,,,,47.126056,51.929914,https://2gis.com/firm/70000001080095563,branch
Мир мебели,,Мебель на заказ; Мебель для кухни; Мебель для общественного питания; Корпусная мебель; Офисная мебель,"Махамбета Утемисова улица, 128",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00,+05:00,,,87477206403,87786811413,87013579870,,,,,https://instagram.com/mir_mebeli_atyrau,,,https://wa.me/77477206403,,,,,,47.094993,51.925448,https://2gis.com/firm/70000001034638369,branch
Merci,мебельная компания,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Каршымбай Ахмедияров, 19Б/2",,,Балыкши м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 10:00-13:00, 14:00-19:00",+05:00,,,87054444442 (единая справочная: пн-вс 10:00-19:00),,,,,,,https://instagram.com/mebel.atyrau.merci,,,https://wa.me/77054444442,,,,,,47.074989,51.886265,https://2gis.com/firm/70000001044512029,branch
Zhannur mebel,,Мебель на заказ; Корпусная мебель,"улица Гурьевснаб, 20а/1",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87780053535,,,,,,,https://instagram.com/zhannur_mebel,,,https://wa.me/77780053535,,,,,,47.132768,51.959858,https://2gis.com/firm/70000001051844070,branch
Olimp Mebel,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель,"проспект Азаттык, 66",38 кабинет; 3 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-12:00, 13:00-18:00; Вт: 09:00-12:00, 13:00-18:00; Ср: 09:00-12:00, 13:00-18:00; Чт: 09:00-12:00, 13:00-18:00; Пт: 09:00-12:00, 13:00-18:00; Сб: 09:00-13:00",+05:00,,,87021896902,,,,,,,https://instagram.com/mebel_olimp.kz,,,https://wa.me/77021896902,,,,,,47.092526,51.920535,https://2gis.com/firm/70000001079599473,branch
Miseker,компания по изготовлению мебели на заказ,Мебель на заказ; Деревообработка; Мебель для кухни; Корпусная мебель; Мягкая мебель; Офисная мебель; Детская мебель; Погонажные изделия,"улица Отешкали Атамбаев, 12е",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-19:00; Вт: 09:00-13:00, 14:00-19:00; Ср: 09:00-13:00, 14:00-19:00; Чт: 09:00-13:00, 14:00-19:00; Пт: 09:00-13:00, 14:00-19:00; Сб: 09:00-13:00",+05:00,5.0,1,87473401010 (единый номер: пн-вс 10:00-19:00),,,,,,,https://instagram.com/mebel_miseker,,,https://wa.me/77473401010,,,,https://t.me/krasnoderevchik,,47.090046,51.927287,https://2gis.com/firm/70000001035514296,branch
MOF Home collectıon ,магазин мягкой мебели,Мебель на заказ; Мягкая мебель; Мебель для кухни; Мебель для ванных комнат,,,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,87008870016,,,,,http://modern-home.kz,,https://instagram.com/mof.atyrau,,,https://wa.me/77010659955,,,,,,,,https://2gis.com/firm/70000001089290354,branch
Merci,мебельная компания,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Сырым Датова, 54",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 10:00-13:00, 14:00-19:00",+05:00,5.0,1,87054444442 (единая справочная: пн-вс 10:00-19:00),,,,,,,https://instagram.com/mebel.atyrau.merci,,,https://wa.me/77054444442,,,,,,47.104454,51.944258,https://2gis.com/firm/70000001047013782,branch
JMebel,мебельная компания,Мебель на заказ; Корпусная мебель; Мебель для кухни,"проспект Султана Бейбарыса, 486",,,Самал-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.0,4,87716419516,,,,,,,https://instagram.com/jmebel06,,,https://wa.me/77716419516,,,,,,47.120351,51.858921,https://2gis.com/firm/70000001043843061,branch
Зере,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель,"улица Салима Капакова, ст 89",,,Оркен м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.2,5,87782488377,87750981991,,,,,,https://instagram.com/zere_zhihazy,,,https://wa.me/77782488377,https://wa.me/77750981991,,,,,47.082202,51.852875,https://2gis.com/firm/70000001055360028,branch
Sheber dos,цех по изготовлению мебели на заказ,Мебель на заказ; Мягкая мебель; Ремонт мебели; Тюнинг; Мебель для общественного питания; Мебельные ткани,"улица Мендекеш Сатыбалдиева, 21",сзади ММmarket,,Рембаза м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительному звонку:),+05:00,5.0,10,87023226945,,,,,,,https://instagram.com/sheber_dos,,,https://wa.me/77023226945,,,,,,47.086101,51.860711,https://2gis.com/firm/70000001068517873,branch
Brand Mebel Atyrau,,Мебель на заказ; Мебель для кухни; Мягкая мебель; Корпусная мебель,"проспект Султана Бейбарыса, 479",,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,2.0,1,87019864343,,,,,,,https://instagram.com/brandmebel_atyrau,,,https://wa.me/77019864343,,,,,,47.118653,51.843297,https://2gis.com/firm/70000001087618864,branch
AisDi,организация по производству мебели на заказ,Мебель на заказ; Мебель для кухни,"36-я улица, 38",,,Оркен 2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,,+05:00,5.0,1,87779975341,,,,,,,https://instagram.com/aisdi_mebel,,,,,,,,,47.091669,51.842608,https://2gis.com/firm/70000001094103016,branch
SR-design,мебельная компания,Мебель на заказ; Садово-парковая мебель; Плетёные изделия; Мебельные магазины; Мебель для общественного питания; Офисная мебель; Мебель для культурно-досуговых учреждений; Дизайн интерьеров; Мягкая мебель; Стеллажи / Витрины; Детская мебель; Корпусная мебель; Мебель из стекла,"улица Алтынколь, 12а",,,Акжайык м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 10:00-13:00, 14:00-19:00",+05:00,4.0,4,87089367403,87780030422,,,,http://sr-design.kz,http://srdesign.satu.kz/,https://instagram.com/sr_design_kz,https://facebook.com/people/SILK-ROAD-Designkz/61558506135527,,https://wa.me/77089367403,https://wa.me/77780030422,,,,,47.070372,51.881933,https://2gis.com/firm/70000001084555650,branch
Adai Jihaz,организация по производству мебели на заказ,Мебель на заказ; Мебель для кухни,"улица Алпысбая Калменулы, 11",,,Балауса м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87765884887,,,,,,,https://instagram.com/adai_jihaz,,,https://wa.me/77765884887,,,,,,47.071509,51.834931,https://2gis.com/firm/70000001096800465,branch
Мебельный склад,ИП Ондасынов А.А.,Мебель на заказ; Матрасы; Мягкая мебель,"улица Кайырлы Есенгенжин, 5",,,Жулдыз м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительному звонку: пн-вс),+05:00,,,87754828410,,,,,,,https://instagram.com/divan_atyrau_06,,,https://wa.me/77754828410,,,,,,47.149479,51.976345,https://2gis.com/firm/70000001063027583,branch
Ерасыл Мебель,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"проспект Исатая Тайманова, 132",,,Атырау м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,1,87780858500,,,,,,,https://instagram.com/mebel_atyrau_erasyl,,,https://wa.me/77780858500,,,,,,47.139608,51.89618,https://2gis.com/firm/70000001044694146,branch
Fatima,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель,"Северная промышленная зона, 57Б",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87016163366,,,,,,,https://instagram.com/fatima_mebel_atyrau,,,https://wa.me/77016163366,,,,,,47.138455,51.878509,https://2gis.com/firm/70000001057840908,branch
